county,year,dayswaqi,maqi
Ozaukee,1995,184,212
Shawnee,2012,366,150
Jefferson,2006,365,200
Laurel,2005,71,152
Fairfield,2000,366,220
Middlesex,1987,346,224
Trigg,2006,354,133
Rosebud,2003,363,120
Macon,2005,349,143
Belknap,1997,183,154
Cook,2014,365,143
Butte,1992,366,122
Imperial,1987,348,136
Clinton,2003,213,195
Columbiana,2010,365,100
Monroe,2007,328,150
Mono,2012,366,3868
Sagadahoc,2011,179,87
Teton,2015,365,107
Crook,2015,362,165
San Miguel,2016,245,105
Allen,2005,358,159
Lexington,2018,365,92
Jefferson,1982,365,222
Allen,2003,365,195
Alamosa,1989,357,125
Caswell,2011,363,129
Logan,1992,12,27
Twin Falls,1997,60,42
Jackson,1987,365,125
Door,1993,174,166
Monroe,2017,364,100
Lake,1990,365,164
Douglas,2009,245,147
Cass,2015,365,140
Rutherford,1995,195,136
Maricopa,1985,365,218
Cherokee,2017,280,71
Linn,1981,365,169
Skagit,1995,365,147
Skagit,2008,366,153
Franklin,2012,366,201
Miller,1989,33,51
San Diego,1999,365,187
Lucas,2000,366,156
Windham,1993,59,52
Shelby,1993,314,209
Sauk,2007,365,140
Garrett,2005,357,159
Imperial,1984,23,29
Billings,2003,143,74
Nez Perce,1986,54,70
Douglas,1991,114,94
Hood,2018,362,133
Perry,2006,267,115
Wabash,1996,213,177
Marin,1996,366,136
Del Norte,1995,281,59
Jefferson,2006,365,204
Archuleta,1989,30,82
Phillips,2000,112,99
Campbell,1996,366,209
Tulsa,1997,365,200
Bell,2017,365,133
Solano,2007,365,126
Polk,1994,365,143
Gregg,1995,344,205
Denver,2008,366,151
Stark,1999,365,207
Albany,2004,356,122
Ohio,2006,365,112
Effingham,2007,223,129
Williamson,2003,244,156
Honolulu,1984,366,165
Spokane,1984,366,214
Granville,2018,233,93
Los Angeles,2011,365,218
Wayne,1991,350,209
Onondaga,1999,365,182
Elko,1996,123,83
St. Lucie,2007,363,104
Cumberland,2009,365,150
Scott,2011,365,105
Madison,1988,251,154
Campbell,2012,366,156
Allegheny,1993,365,207
Pitkin,2019,121,46
Northampton,1995,289,166
Barnstable,2013,315,129
Albany,1991,321,105
Stillwater,1990,51,44
Jackson,1999,354,154
Hampshire,1982,365,226
Glacier,2003,42,121
Charleston,2011,365,153
Fond du Lac,2015,194,97
Albemarle,2008,234,140
Knox,2002,195,179
Washoe,2003,365,161
Jefferson,1987,365,377
Jefferson,1988,366,223
Florence,2015,168,74
Linn,2017,365,177
McKenzie,1999,363,127
Giles,2007,334,133
Warren,2012,359,150
Fayette,2008,354,86
Mineral,2010,246,67
Imperial,2017,365,331
Ohio,2017,283,87
El Dorado,2005,365,197
Ozaukee,1988,213,229
Bingham,2003,50,90
Polk,1995,365,136
Warren,2014,365,156
Rock,2010,108,78
Colbert,2019,263,61
Ventura,1985,365,242
Anoka,1985,351,108
Morgan,1997,59,51
Napa,1981,364,90
Bayamon,2008,338,37
Multnomah,1999,365,159
Passaic,2017,299,112
Pierce,2012,366,144
Macomb,2001,365,200
San Juan,2007,118,57
Nassau,1994,365,113
San Mateo,2008,366,102
Kootenai,2017,355,269
Benzie,2007,183,156
Anchorage ,1992,364,461
Kay,1991,313,160
Grant,1982,176,115
Colusa,1996,366,164
Hamilton,2011,365,179
Leelanau,2006,176,179
Clinton,2011,183,122
Lancaster,1993,365,208
Columbia,2017,363,100
Macoupin,2004,365,133
Mahoning,2003,365,212
New Hanover,1999,364,200
Hamilton,2011,173,150
Monterey,2006,365,126
Carroll,2009,47,37
Colbert,1983,342,200
Claiborne,2002,361,185
Muskogee,1981,37,39
Bernalillo,2014,365,105
Beaufort,2002,360,120
Alpine,2016,24,65
Escambia,1990,365,200
Camden,1990,290,151
Ventura,1999,365,207
Phillips,2013,365,56
Lea,2019,365,140
Tuscaloosa,2013,362,71
DeSoto,1990,269,182
Franklin,1997,365,177
Ohio,1997,365,172
BAJA CALIFORNIA NORTE,1999,365,404
Park,2010,191,133
Osceola,1996,363,143
Wilkinson,2000,107,112
Stark,1990,365,305
Calcasieu,1990,365,220
Lincoln,1990,352,150
Tazewell,2009,365,200
Yuma,1981,356,136
Glynn,1999,365,150
Salinas,2007,315,69
Monongalia,1993,365,195
Marathon,2000,186,150
Del Norte,2011,120,54
Chatham,1995,322,119
Adams,1995,25,31
Lawrence,1996,271,169
Cumberland,1989,365,221
Umatilla,2017,365,227
Rockdale,1981,271,233
Cascade,1994,361,127
Weld,2000,366,119
Cedar,2002,101,82
Iberville,1986,362,201
Indiana,2015,365,120
Lawrence,2013,365,136
Ford,2012,366,94
Silver Bow,1985,28,174
Bolivar,2018,312,129
Onondaga,1996,366,129
Baltimore,1980,356,237
Jefferson,1984,365,200
Jackson,2009,183,119
Clark,2011,270,100
Prowers,2008,365,218
Dane,1996,366,159
Norfolk City,1986,308,80
Ohio,1984,366,200
Stark,1995,365,200
Washington,1983,323,188
Noble,1994,353,161
Denver,2000,366,126
Washington,1999,118,108
Henry,2016,365,159
Edmonson,1991,343,139
Yolo,1990,365,200
Ouachita,2016,344,72
Dubois,1999,58,52
Rock Island,1989,364,150
Anoka,1987,364,159
St. Johns,1982,15,56
Shawnee,2003,122,155
Allegheny,1997,365,213
Allen,2005,358,159
Dunn,1984,366,84
Wayne,2015,119,64
Anderson,1981,363,158
Durham,1993,365,166
Pittsburg,2007,356,129
Saint Charles,1995,365,221
Audrain,1991,57,37
Coos,2015,354,140
New London,2016,357,154
Boone,2001,183,177
Clark,2007,354,174
Scott,2003,365,140
Taney,1996,110,15
Natrona,1994,47,49
Wasco,2003,52,72
Pima,1991,365,143
Franklin,2006,365,133
Shawnee,1998,49,69
Lexington,2012,366,96
